scan_id,prn,system_char,channel,secondary_code_length,call_index,corr_value
0,5,69,4,25,1778,3
0,5,69,4,25,1779,1
0,5,69,4,25,1780,1
0,5,69,4,25,1781,1
0,5,69,4,25,1782,-1
0,5,69,4,25,1783,-5
0,5,69,4,25,1784,7
0,5,69,4,25,1785,1
0,5,69,4,25,1786,-7
0,5,69,4,25,1787,9
0,5,69,4,25,1788,5
0,5,69,4,25,1789,-3
0,5,69,4,25,1790,-3
0,5,69,4,25,1791,-3
0,5,69,4,25,1792,-5
0,5,69,4,25,1793,1
0,5,69,4,25,1794,-1
0,5,69,4,25,1795,5
0,5,69,4,25,1796,-5
0,5,69,4,25,1797,7
0,5,69,4,25,1798,1
0,5,69,4,25,1799,7
0,5,69,4,25,1800,11
0,5,69,4,25,1801,-3
0,5,69,4,25,1802,-3
0,5,69,4,25,1803,3
0,5,69,4,25,1804,1
0,5,69,4,25,1805,1
0,5,69,4,25,1806,1
0,5,69,4,25,1807,-1
0,5,69,4,25,1808,-5
0,5,69,4,25,1809,7
0,5,69,4,25,1810,1
0,5,69,4,25,1811,-7
0,5,69,4,25,1812,9
0,5,69,4,25,1813,5
0,5,69,4,25,1814,-3
0,5,69,4,25,1815,-3
0,5,69,4,25,1816,-3
0,5,69,4,25,1817,-5
0,5,69,4,25,1818,1
0,5,69,4,25,1819,-1
0,5,69,4,25,1820,5
0,5,69,4,25,1821,-5
0,5,69,4,25,1822,7
0,5,69,4,25,1823,1
0,5,69,4,25,1824,7
0,5,69,4,25,1825,11
0,5,69,4,25,1826,-3
0,5,69,4,25,1827,-3
0,5,69,4,25,1828,3
0,5,69,4,25,1829,1
0,5,69,4,25,1830,1
0,5,69,4,25,1831,1
0,5,69,4,25,1832,-1
0,5,69,4,25,1833,-5
0,5,69,4,25,1834,7
0,5,69,4,25,1835,1
0,5,69,4,25,1836,-7
0,5,69,4,25,1837,9
0,5,69,4,25,1838,5
0,5,69,4,25,1839,-3
0,5,69,4,25,1840,-3
0,5,69,4,25,1841,-3
0,5,69,4,25,1842,-5
0,5,69,4,25,1843,1
0,5,69,4,25,1844,-1
0,5,69,4,25,1845,5
0,5,69,4,25,1846,-5
0,5,69,4,25,1847,7
0,5,69,4,25,1848,1
0,5,69,4,25,1849,7
0,5,69,4,25,1850,11
0,5,69,4,25,1851,-3
0,5,69,4,25,1852,-3
0,5,69,4,25,1853,3
0,5,69,4,25,1854,1
0,5,69,4,25,1855,1
0,5,69,4,25,1856,1
0,5,69,4,25,1857,-1
0,5,69,4,25,1858,-5
0,5,69,4,25,1859,7
0,5,69,4,25,1860,1
0,5,69,4,25,1861,-7
0,5,69,4,25,1862,9
0,5,69,4,25,1863,5
0,5,69,4,25,1864,-3
0,5,69,4,25,1865,-3
0,5,69,4,25,1866,-3
0,5,69,4,25,1867,-5
0,5,69,4,25,1868,1
0,5,69,4,25,1869,-1
0,5,69,4,25,1870,5
0,5,69,4,25,1871,-5
0,5,69,4,25,1872,7
0,5,69,4,25,1873,1
0,5,69,4,25,1874,7
0,5,69,4,25,1875,11
0,5,69,4,25,1876,-3
0,5,69,4,25,1877,-3
0,5,69,4,25,1878,3
0,5,69,4,25,1879,1
0,5,69,4,25,1880,1
0,5,69,4,25,1881,1
0,5,69,4,25,1882,-1
0,5,69,4,25,1883,-5
0,5,69,4,25,1884,7
0,5,69,4,25,1885,1
0,5,69,4,25,1886,-7
0,5,69,4,25,1887,9
0,5,69,4,25,1888,5
0,5,69,4,25,1889,-3
0,5,69,4,25,1890,-3
0,5,69,4,25,1891,-3
0,5,69,4,25,1892,-5
0,5,69,4,25,1893,1
0,5,69,4,25,1894,-1
0,5,69,4,25,1895,5
0,5,69,4,25,1896,-5
0,5,69,4,25,1897,7
0,5,69,4,25,1898,1
0,5,69,4,25,1899,7
0,5,69,4,25,1900,11
0,5,69,4,25,1901,-3
0,5,69,4,25,1902,-3
0,5,69,4,25,1903,3
0,5,69,4,25,1904,1
0,5,69,4,25,1905,1
0,5,69,4,25,1906,1
0,5,69,4,25,1907,-1
0,5,69,4,25,1908,-5
0,5,69,4,25,1909,7
0,5,69,4,25,1910,1
0,5,69,4,25,1911,-7
0,5,69,4,25,1912,9
0,5,69,4,25,1913,5
0,5,69,4,25,1914,-3
0,5,69,4,25,1915,-3
0,5,69,4,25,1916,-3
0,5,69,4,25,1917,-5
0,5,69,4,25,1918,1
0,5,69,4,25,1919,-1
0,5,69,4,25,1920,5
0,5,69,4,25,1921,-5
0,5,69,4,25,1922,7
0,5,69,4,25,1923,1
0,5,69,4,25,1924,7
0,5,69,4,25,1925,11
0,5,69,4,25,1926,-3
0,5,69,4,25,1927,-3
0,5,69,4,25,1928,3
0,5,69,4,25,1929,1
0,5,69,4,25,1930,1
0,5,69,4,25,1931,1
0,5,69,4,25,1932,-1
0,5,69,4,25,1933,-5
0,5,69,4,25,1934,7
0,5,69,4,25,1935,1
0,5,69,4,25,1936,-7
0,5,69,4,25,1937,9
0,5,69,4,25,1938,5
0,5,69,4,25,1939,-3
0,5,69,4,25,1940,-3
0,5,69,4,25,1941,-3
0,5,69,4,25,1942,-5
0,5,69,4,25,1943,1
0,5,69,4,25,1944,-1
0,5,69,4,25,1945,5
0,5,69,4,25,1946,-5
0,5,69,4,25,1947,7
0,5,69,4,25,1948,1
0,5,69,4,25,1949,7
0,5,69,4,25,1950,11
0,5,69,4,25,1951,-3
0,5,69,4,25,1952,-3
0,5,69,4,25,1953,3
0,5,69,4,25,1954,1
0,5,69,4,25,1955,1
0,5,69,4,25,1956,1
0,5,69,4,25,1957,-1
0,5,69,4,25,1958,-5
0,5,69,4,25,1959,7
0,5,69,4,25,1960,1
0,5,69,4,25,1961,-7
0,5,69,4,25,1962,9
0,5,69,4,25,1963,5
0,5,69,4,25,1964,-3
0,5,69,4,25,1965,-3
0,5,69,4,25,1966,-3
0,5,69,4,25,1967,-5
0,5,69,4,25,1968,1
0,5,69,4,25,1969,-1
0,5,69,4,25,1970,5
0,5,69,4,25,1971,-5
0,5,69,4,25,1972,7
0,5,69,4,25,1973,1
0,5,69,4,25,1974,7
0,5,69,4,25,1975,11
0,5,69,4,25,1976,-3
0,5,69,4,25,1977,-3
0,5,69,4,25,1978,3
0,5,69,4,25,1979,1
0,5,69,4,25,1980,1
0,5,69,4,25,1981,1
0,5,69,4,25,1982,-1
0,5,69,4,25,1983,-5
0,5,69,4,25,1984,7
0,5,69,4,25,1985,1
0,5,69,4,25,1986,-7
0,5,69,4,25,1987,9
0,5,69,4,25,1988,5
0,5,69,4,25,1989,-3
0,5,69,4,25,1990,-3
0,5,69,4,25,1991,-3
0,5,69,4,25,1992,-5
0,5,69,4,25,1993,1
0,5,69,4,25,1994,-1
0,5,69,4,25,1995,5
0,5,69,4,25,1996,-5
0,5,69,4,25,1997,7
0,5,69,4,25,1998,1
0,5,69,4,25,1999,7
0,5,69,4,25,2000,11
0,5,69,4,25,2001,-3
0,5,69,4,25,2002,-3
0,5,69,4,25,2003,3
0,5,69,4,25,2004,1
0,5,69,4,25,2005,1
0,5,69,4,25,2006,1
0,5,69,4,25,2007,-1
0,5,69,4,25,2008,-5
0,5,69,4,25,2009,7
0,5,69,4,25,2010,1
0,5,69,4,25,2011,-7
0,5,69,4,25,2012,9
0,5,69,4,25,2013,5
0,5,69,4,25,2014,-3
0,5,69,4,25,2015,-3
0,5,69,4,25,2016,-3
0,5,69,4,25,2017,-5
0,5,69,4,25,2018,1
0,5,69,4,25,2019,-1
0,5,69,4,25,2020,5
0,5,69,4,25,2021,-5
0,5,69,4,25,2022,7
0,5,69,4,25,2023,1
0,5,69,4,25,2024,7
0,5,69,4,25,2025,11
0,5,69,4,25,2026,-3
0,5,69,4,25,2027,-3
0,5,69,4,25,2028,3
0,5,69,4,25,2029,1
0,5,69,4,25,2030,1
0,5,69,4,25,2031,1
0,5,69,4,25,2032,-1
0,5,69,4,25,2033,-5
0,5,69,4,25,2034,7
0,5,69,4,25,2035,1
0,5,69,4,25,2036,-7
0,5,69,4,25,2037,9
0,5,69,4,25,2038,5
0,5,69,4,25,2039,-3
0,5,69,4,25,2040,-3
0,5,69,4,25,2041,-3
0,5,69,4,25,2042,-5
0,5,69,4,25,2043,1
0,5,69,4,25,2044,-1
0,5,69,4,25,2045,5
0,5,69,4,25,2046,-5
0,5,69,4,25,2047,7
0,5,69,4,25,2048,1
0,5,69,4,25,2049,7
0,5,69,4,25,2050,11
0,5,69,4,25,2051,-3
0,5,69,4,25,2052,-3
0,5,69,4,25,2053,3
0,5,69,4,25,2054,1
0,5,69,4,25,2055,1
0,5,69,4,25,2056,1
0,5,69,4,25,2057,-1
0,5,69,4,25,2058,-5
0,5,69,4,25,2059,7
0,5,69,4,25,2060,1
0,5,69,4,25,2061,-7
0,5,69,4,25,2062,9
0,5,69,4,25,2063,5
0,5,69,4,25,2064,-3
0,5,69,4,25,2065,-3
0,5,69,4,25,2066,-3
0,5,69,4,25,2067,-5
0,5,69,4,25,2068,1
0,5,69,4,25,2069,-1
0,5,69,4,25,2070,5
0,5,69,4,25,2071,-5
0,5,69,4,25,2072,7
0,5,69,4,25,2073,1
0,5,69,4,25,2074,7
0,5,69,4,25,2075,11
0,5,69,4,25,2076,-3
0,5,69,4,25,2077,-3
0,5,69,4,25,2078,3
0,5,69,4,25,2079,1
0,5,69,4,25,2080,1
0,5,69,4,25,2081,1
0,5,69,4,25,2082,-1
0,5,69,4,25,2083,-5
0,5,69,4,25,2084,7
0,5,69,4,25,2085,1
0,5,69,4,25,2086,-7
0,5,69,4,25,2087,9
0,5,69,4,25,2088,5
0,5,69,4,25,2089,-3
0,5,69,4,25,2090,-3
0,5,69,4,25,2091,-3
0,5,69,4,25,2092,-5
0,5,69,4,25,2093,1
0,5,69,4,25,2094,-1
0,5,69,4,25,2095,5
0,5,69,4,25,2096,-5
0,5,69,4,25,2097,7
0,5,69,4,25,2098,1
0,5,69,4,25,2099,7
0,5,69,4,25,2100,11
0,5,69,4,25,2101,-3
0,5,69,4,25,2102,-3
0,5,69,4,25,2103,3
0,5,69,4,25,2104,1
0,5,69,4,25,2105,1
0,5,69,4,25,2106,1
0,5,69,4,25,2107,-1
0,5,69,4,25,2108,-5
0,5,69,4,25,2109,7
0,5,69,4,25,2110,1
0,5,69,4,25,2111,-7
0,5,69,4,25,2112,9
0,5,69,4,25,2113,5
0,5,69,4,25,2114,-3
0,5,69,4,25,2115,-3
0,5,69,4,25,2116,-3
0,5,69,4,25,2117,-5
0,5,69,4,25,2118,1
0,5,69,4,25,2119,-1
0,5,69,4,25,2120,5
0,5,69,4,25,2121,-5
0,5,69,4,25,2122,7
0,5,69,4,25,2123,1
0,5,69,4,25,2124,7
0,5,69,4,25,2125,11
0,5,69,4,25,2126,-3
0,5,69,4,25,2127,-3
0,5,69,4,25,2128,3
0,5,69,4,25,2129,1
0,5,69,4,25,2130,1
0,5,69,4,25,2131,1
0,5,69,4,25,2132,-1
0,5,69,4,25,2133,-5
0,5,69,4,25,2134,7
0,5,69,4,25,2135,1
0,5,69,4,25,2136,-7
0,5,69,4,25,2137,9
0,5,69,4,25,2138,5
0,5,69,4,25,2139,-3
0,5,69,4,25,2140,-3
0,5,69,4,25,2141,-3
0,5,69,4,25,2142,-5
0,5,69,4,25,2143,1
0,5,69,4,25,2144,-1
0,5,69,4,25,2145,5
0,5,69,4,25,2146,-5
0,5,69,4,25,2147,7
0,5,69,4,25,2148,1
0,5,69,4,25,2149,7
0,5,69,4,25,2150,11
0,5,69,4,25,2151,-3
0,5,69,4,25,2152,-3
0,5,69,4,25,2153,3
0,5,69,4,25,2154,1
0,5,69,4,25,2155,1
0,5,69,4,25,2156,1
0,5,69,4,25,2157,-1
0,5,69,4,25,2158,-5
0,5,69,4,25,2159,7
0,5,69,4,25,2160,1
0,5,69,4,25,2161,-7
0,5,69,4,25,2162,9
0,5,69,4,25,2163,5
0,5,69,4,25,2164,-3
0,5,69,4,25,2165,-3
0,5,69,4,25,2166,-3
0,5,69,4,25,2167,-5
0,5,69,4,25,2168,1
0,5,69,4,25,2169,-1
0,5,69,4,25,2170,5
0,5,69,4,25,2171,-5
0,5,69,4,25,2172,7
0,5,69,4,25,2173,1
0,5,69,4,25,2174,7
0,5,69,4,25,2175,11
0,5,69,4,25,2176,-3
0,5,69,4,25,2177,-3
0,5,69,4,25,2178,3
0,5,69,4,25,2179,1
0,5,69,4,25,2180,1
0,5,69,4,25,2181,1
0,5,69,4,25,2182,-1
0,5,69,4,25,2183,-5
0,5,69,4,25,2184,7
0,5,69,4,25,2185,1
0,5,69,4,25,2186,-7
0,5,69,4,25,2187,9
0,5,69,4,25,2188,5
0,5,69,4,25,2189,-3
0,5,69,4,25,2190,-3
0,5,69,4,25,2191,-3
0,5,69,4,25,2192,-5
0,5,69,4,25,2193,1
0,5,69,4,25,2194,-1
0,5,69,4,25,2195,5
0,5,69,4,25,2196,-5
0,5,69,4,25,2197,7
0,5,69,4,25,2198,1
0,5,69,4,25,2199,7
0,5,69,4,25,2200,11
0,5,69,4,25,2201,-3
0,5,69,4,25,2202,-3
0,5,69,4,25,2203,3
0,5,69,4,25,2204,1
0,5,69,4,25,2205,1
0,5,69,4,25,2206,1
0,5,69,4,25,2207,-1
0,5,69,4,25,2208,-5
0,5,69,4,25,2209,7
0,5,69,4,25,2210,1
0,5,69,4,25,2211,-7
0,5,69,4,25,2212,9
0,5,69,4,25,2213,5
0,5,69,4,25,2214,-3
0,5,69,4,25,2215,-3
0,5,69,4,25,2216,-3
0,5,69,4,25,2217,-5
0,5,69,4,25,2218,1
0,5,69,4,25,2219,-1
0,5,69,4,25,2220,5
0,5,69,4,25,2221,-5
0,5,69,4,25,2222,7
0,5,69,4,25,2223,1
0,5,69,4,25,2224,7
0,5,69,4,25,2225,11
0,5,69,4,25,2226,-3
0,5,69,4,25,2227,-3
0,5,69,4,25,2228,3
0,5,69,4,25,2229,1
0,5,69,4,25,2230,1
0,5,69,4,25,2231,1
0,5,69,4,25,2232,-1
0,5,69,4,25,2233,-5
0,5,69,4,25,2234,7
0,5,69,4,25,2235,1
0,5,69,4,25,2236,-7
0,5,69,4,25,2237,9
0,5,69,4,25,2238,5
0,5,69,4,25,2239,-3
0,5,69,4,25,2240,-3
0,5,69,4,25,2241,-3
0,5,69,4,25,2242,-5
0,5,69,4,25,2243,1
0,5,69,4,25,2244,-1
0,5,69,4,25,2245,5
0,5,69,4,25,2246,-5
0,5,69,4,25,2247,7
0,5,69,4,25,2248,1
0,5,69,4,25,2249,7
0,5,69,4,25,2250,11
0,5,69,4,25,2251,-3
0,5,69,4,25,2252,-3
0,5,69,4,25,2253,3
0,5,69,4,25,2254,1
0,5,69,4,25,2255,1
0,5,69,4,25,2256,1
0,5,69,4,25,2257,-1
0,5,69,4,25,2258,-5
0,5,69,4,25,2259,7
0,5,69,4,25,2260,1
0,5,69,4,25,2261,-7
0,5,69,4,25,2262,9
0,5,69,4,25,2263,5
